Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
New Dialogue Database,,,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,Display Name
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text
1,,[],,[],Player,[],,True,
2,,[],,[],NPC,[],,False,Player
3,,[],,[],Girl,[],,False,
4,,[],,[],KeyMan,[],,False,
Items
ID,Name,Pictures,Description,Is Item,Success Description,Failure Description,State
Number,Text,Files,Text,Boolean,Text,Text,Text
1,Key,[],,True,,,
Locations
ID
Number
Variables
ID,Name,Initial Value,Description,InitialValueType
Number,Text,Boolean,Text,Text
1,girlTalkSaver,False,,Boolean
2,girlTalkLooking,False,,Boolean
3,takeGirl,False,,Boolean
4,seeRope,False,,Boolean
6,checkedKeyMan,False,,Boolean
7,horseTalked,False,,Boolean
8,girlLike,-1,,Number
Conversations
ID,Title,Pictures,Description,Actor,Conversant
Number,Text,Files,Text,Actor,Actor
1,StartStart1,[],,1,2
2,StartFinished,[],,1,2
3,Start2Start,[],,1,2
4,Start2Put1,[],,1,2
5,DeadBodyClick,[],,1,2
6,GirlClick,[],,1,3
7,KeyManClick,[],,1,3
8,RopeClick,[],,1,3
9,HorseClick,[],,1,3
10,KeyClick,[],,1,3
DialogueEntries
entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,EventGuid,Response Menu Sequence,canvasRect
Text,Number,Number,Number,Number,Text,Text,Text,Boolean,Special,Special,Text,Text,Text,Files,Text,Text,Files,Text,Text,Text,Text
Player_1_0,1,0,1,1,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;30
NPC_1_1,1,1,2,1,New Dialogue Entry,,Aghh. Where am I?,False,Passthrough,Normal,,,,[],,,[],,,,20;78.86365
Player_1_2,1,2,1,1,New Dialogue Entry,,What is this place?,False,Block,Normal,,,,[],,,[],,,,18.86365;130
Player_1_3,1,3,1,1,New Dialogue Entry,,There is a lock here... And some splitted pieces. Should I try to put them back?,False,Block,Normal,,,,[],,,[],,,,20;180
Player_2_0,2,0,1,1,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;30
Player_2_1,2,1,1,1,New Dialogue Entry,,Not that hard.,False,Block,Normal,,,,[],,,[],,,,19;80
Player_2_2,2,2,1,1,New Dialogue Entry,,Let's see what's behind!,False,Block,Normal,,,,[],,,[],,,,19;130
Player_3_0,3,0,1,1,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;10.21978
NPC_3_1,3,1,2,1,New Dialogue Entry,,WHAT?,False,Block,Normal,"Variable[""Start2Start""] == null",,,[],,,[],,,,20;80
Player_3_2,3,2,1,1,New Dialogue Entry,,Another lock?,False,Block,Normal,,,,[],,,[],,,,20;130
Player_3_3,3,3,1,1,New Dialogue Entry,,...Let's try to solve it again.,False,Block,Normal,,,,[],,,[],,,,20;180
NPC_3_5,3,5,2,1,,,Again.. For sure.,False,Block,Normal,"Variable[""Start2Start""] == true",,,[],,,[],,,,231.0054;70.8217
Player_3_6,3,6,1,1,,,I can't keep solving this stupid lock forever.,False,Block,Normal,,,,[],,,[],,,,231.0054;120.8217
Player_3_7,3,7,1,1,,Let me see if there is other way out...,,False,Block,Normal,,,,[],,,[],,,,231.0054;169.7228
Player_3_8,3,8,1,1,,Like where that something run to...,,False,Block,Normal,,,,[],,,[],,,,231.0054;219.7228
Player_4_0,4,0,1,1,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;30
Player_4_1,4,1,1,1,,,?! What is that?,False,Block,Normal,,,,[],,,[],,,,20;80
Player_4_2,4,2,1,1,New Dialogue Entry,,Something walked by!,False,Block,Normal,,,,[],,,[],,,,20;130
Player_4_3,4,3,1,1,New Dialogue Entry,,I don't have time to solve this!,False,Block,Normal,,,,[],,,[],,,,20;180
Player_4_4,4,4,1,1,New Dialogue Entry,,Go chase him!,False,Block,Normal,,,,[],,,[],,27247c43-37b5-4b2b-846e-7b99019ee18d,,20;230
Player_5_0,5,0,1,1,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;26.78049
NPC_5_1,5,1,2,1,New Dialogue Entry,,Is he.. Dead?,False,Block,Normal,,,,[],,,[],,e8cf565e-e028-48da-960f-99f30c828910,,20;80
Player_5_2,5,2,1,2,New Dialogue Entry,,Hello?,False,Block,Normal,,,,[],,,[],,,,20;130
NPC_5_3,5,3,2,1,New Dialogue Entry,,...No response.,False,Block,Normal,,,,[],,,[],,,,20;180
Player_5_4,5,4,1,2,,,Is this the person that run past? I'm not sure...,False,Block,Normal,,,,[],,,[],,,,20;230
